ID;lat;lon;ele;time;name;parcela;tipo
1;40.85543897934258;-4.066394995898008;1360.848876999999902;2024-04-03T09:54:29Z;EstacionMeteo;;meteo
2;40.8624869864434;-4.068068023771048;1282.233398000000079;2024-04-03T08:57:43Z;M01;Decaimiento;tree
3;40.862541971728206;-4.067974984645844;1284.229614000000083;2024-04-03T08:59:26Z;M02;Decaimiento;tree
4;40.862621013075113;-4.067900972440839;1286.339966000000004;2024-04-03T09:01:32Z;M03;Decaimiento;tree
5;40.862617995589972;-4.067954029887915;1285.609009000000015;2024-04-03T09:00:49Z;M04;Decaimiento;tree
6;40.862809019163251;-4.067901978269219;1296.321044999999913;2024-04-03T09:07:20Z;M05;Decaimiento;tree
7;40.86293701082468;-4.067822014912963;1300.228027000000111;2024-04-03T09:08:47Z;M06;Decaimiento;tree
8;40.862665018066764;-4.067847998812795;1290.758057000000008;2024-04-03T09:02:46Z;M07;Decaimiento;tree
9;40.862655965611339;-4.067787984386086;1291.311034999999947;2024-04-03T09:03:22Z;M08;Decaimiento;tree
10;40.862803990021348;-4.067898038774729;1293.297851999999921;2024-04-03T09:04:37Z;M09;Decaimiento;tree
11;40.862707011401653;-4.067989988252521;1294.003418000000011;2024-04-03T09:05:30Z;M10;Decaimiento;tree
13;40.855850027874112;-4.065764006227255;1360.375731999999971;2024-04-03T09:28:07Z;S01;Sanos;tree
14;40.855862013995647;-4.065811028704047;1359.698364000000083;2024-04-03T09:30:32Z;S02;Sanos;tree
15;40.855972990393639;-4.065696028992534;1363.218384000000015;2024-04-03T09:32:04Z;S03;Sanos;tree
16;40.855844998732209;-4.065579017624259;1365.200561999999991;2024-04-03T09:35:04Z;S04;Sanos;tree
17;40.855901995673776;-4.065565019845963;1366.172362999999905;2024-04-03T09:35:37Z;S05;Sanos;tree
18;40.855852961540222;-4.065569965168834;1367.417114000000083;2024-04-03T09:36:33Z;S06;Sanos;tree
19;40.862708017230034;-4.067990994080901;1299.6621090000001;2024-04-03T09:13:27Z;SoilTemp_M1;;meteo
20;40.862917983904481;-4.067860990762711;1302.576172000000042;2024-04-03T09:11:15Z;SoilTemp_M2;;meteo
21;40.855884980410337;-4.065552027896047;1368.269287000000077;2024-04-03T09:38:52Z;SoilTemp_S1;;meteo
22;40.85586603730917;-4.065655041486025;1364.459839000000102;2024-04-03T09:39:33Z;SoilTemp_S2;;meteo